"","bat","n","cs","ps","ps2"
"1","ad",8,1.95652173913477,0,0
"2","add",23,4.1958041958153,0.426771653543307,0.385826771653543
"3","addld",19,7.64402810313932,0.0755905511811024,0.0677165354330709
"4","addldd",27,6.82105263171582,0.647244094488189,0.61259842519685
"5","adld",27,8.12121212136253,1.19212598425197,1.0992125984252
"6","adldd",23,2.39999999999302,0.480314960629921,0.456692913385827
"7","ald",6,3.49668874174342,0,0
"8","aldd",5,1.8640776699204,0.0220472440944882,0.0204724409448819
"9","alexei",1,0,0,0
"10","ax",28,4.50782608700946,2.4992125984252,2.40629921259843
"11","bd",26,4.41121495331782,1.8740157480315,1.81102362204724
"12","bdlx",26,1.8612244898167,0.922834645669291,0.878740157480315
"13","bes",25,3.97452229303047,1.14330708661417,1.0992125984252
"14","bey",24,2.79820627805174,0.559055118110236,0.552755905511811
"15","blx",19,4.30769230770884,0.179527559055118,0.177952755905512
"16","bs",27,4.79060665367328,2.10866141732283,1.99212598425197
"17","bscs",26,2.54014598542062,1.94645669291339,1.89606299212598
"18","bxdlx",19,3.99243856336174,0.308661417322835,0.262992125984252
"19","bxx",20,5.85792349729012,0.48503937007874,0.44251968503937
"20","cdw",23,7.40042826564269,0.337007874015748,0.300787401574803
"21","cfd",22,5.14602587802252,0.596850393700787,0.533858267716535
"22","cldw",24,6.25000000005116,0.532283464566929,0.488188976377953
"23","clw",26,8.80733944976704,0.696062992125984,0.603149606299213
"24","clwd",23,12.8817891375838,0.215748031496063,0.198425196850394
"25","cnone",22,5.39037433159443,1.3259842519685,1.23307086614173
"26","cwd",3,5.60000000009779,0,0
"27","cww",21,2.21303656599105,0.0929133858267717,0.0850393700787402
"28","noa",1,3.02990033222826,0,0
"29","pup",7,1.11282843895761,0.0062992125984252,0.0062992125984252
