"","cluster_sw","bats_i"
"1",4.30769230770884,"blx"
"2",6.25000000005116,"cldw"
"3",3.99243856336174,"bxdlx"
"4",7.40042826564269,"cdw"
"5",5.39037433159443,"cnone"
"6",4.79060665367328,"bs"
"7",1.95652173913477,"ad"
"8",1.8640776699204,"aldd"
"9",2.39999999999302,"adldd"
"10",7.64402810313932,"addld"
"11",5.60000000009779,"cwd"
"12",4.1958041958153,"add"
"13",5.14602587802252,"cfd"
"14",8.12121212136253,"adld"
"15",3.97452229303047,"bes"
"16",3.49668874174342,"ald"
"17",8.80733944976704,"clw"
"18",4.50782608700946,"ax"
"19",6.82105263171582,"addldd"
"20",1.8612244898167,"bdlx"
"21",2.21303656599105,"cww"
"22",1.11282843895761,"pup"
"23",5.85792349729012,"bxx"
"24",2.79820627805174,"bey"
"25",4.41121495331782,"bd"
"26",2.54014598542062,"bscs"
"27",12.8817891375838,"clwd"
"28",0.45454545454816,"uri"
"29",3.02990033222826,"noa"
"30",4.5818181818303,"xanthe"
"31",0,"alexei"
