"","partner_sw","bats_i"
"1",0.426771653543307,"add"
"2",1.3259842519685,"cnone"
"3",0.480314960629921,"adldd"
"4",0.337007874015748,"cdw"
"5",0.532283464566929,"cldw"
"6",2.4992125984252,"ax"
"7",1.19212598425197,"adld"
"8",2.10866141732283,"bs"
"9",1.14330708661417,"bes"
"10",0.696062992125984,"clw"
"11",0.308661417322835,"bxdlx"
"12",0.922834645669291,"bdlx"
"13",0.559055118110236,"bey"
"14",0.179527559055118,"blx"
"15",0.0220472440944882,"aldd"
"16",0.647244094488189,"addldd"
"17",0.596850393700787,"cfd"
"18",0,"ald"
"19",0.48503937007874,"bxx"
"20",0,"cwd"
"21",0.0755905511811024,"addld"
"22",0.0062992125984252,"pup"
"23",0.0929133858267717,"cww"
"24",1.8740157480315,"bd"
"25",1.94645669291339,"bscs"
"26",0,"ad"
"27",0.215748031496063,"clwd"
"28",0,"noa"
"29",0,"alexei"
"30",0,"uri"
"31",0,"xanthe"
