"","soc_diff","Observations[Observations > 100]"
"1",0.329837830723104,823
"2",0.322328941516952,851
"3",0.335794362483053,834
"4",0.343240675342729,730
"5",0.348482041792183,831
"6",0.345717846109085,835
"7",0.365599052398,660
"8",0.367324340947236,789
"9",0.319247247170965,549
"10",0.335013323492509,731
"11",0.562375453170815,108
"12",0.439916362126493,470
"13",0.335982358677494,790
"14",0.349178864281794,710
"15",0.33606739016592,760
"16",0.357988457903792,799
"17",0.329750974703461,608
"18",0.375908130332109,920
"19",0.347589250064009,696
"20",0.340326795143976,794
"21",0.349364217736195,903
"22",0.381741089622689,991
"23",0.327234596854097,836
"24",0.327482211100079,429
"25",0.365947308299865,949
"26",0.349795174440747,831
"27",0.324462146490008,550
"28",0.408937999568377,725
"29",0.523514115844702,401
"30",0.581330260312269,315
