"","soc_diff","Observations"
"1",5.11374983911603,573
"2",1.40047173191719,1548
"3",3.84159111368166,702
"4",2.59084707107704,612
"5",1.13347408845303,753
"6",1.62496665588339,2724
"7",5.40662850121384,1355
"8",5.46608093090455,2024
"9",5.56776436283002,1387
"10",2.26498211999633,828
"11",1.55833936481488,512
"12",1.62093589971808,1107
"13",2.06437926188628,743
"14",2.37287678998668,394
"15",2.45101552498279,315
"16",1.40104983443574,955
"17",1.94023043582779,863
"18",1.57663349801308,313
"19",1.95167568192332,910
"20",2.76479041411303,8
"21",1.54861938502677,290
"22",1.66318604359032,58
"23",1.25542155945558,239
"24",3.50898652213799,2039
"25",1.359455729008,1996
"26",4.14674602634717,99
"27",1.74991132870966,579
"28",5.56776436283002,1
"29",4.89145587720103,2
